,citing_author,paper_citing_id,cited_author,paper_cited_id,time
1028,19,519,2,2,25
1029,19,519,1,81,25
1030,0,520,13,13,26
1031,0,520,3,3,26
1032,0,520,10,30,26
1033,1,521,15,335,26
1034,1,521,7,307,26
1035,1,521,0,0,26
1036,2,522,9,9,26
1037,2,522,17,217,26
1038,3,523,13,13,26
1039,3,523,3,3,26
1040,3,523,13,373,26
1041,4,524,10,10,26
1042,4,524,18,318,26
1043,4,524,7,7,26
1044,5,525,5,125,26
1045,6,526,13,113,26
1046,7,527,13,273,26
1047,7,527,8,8,26
1048,8,528,8,8,26
1049,9,529,9,229,26
1050,9,529,6,6,26
1051,10,530,15,15,26
1052,10,530,16,16,26
1053,11,531,18,58,26
1054,11,531,10,390,26
1055,11,531,16,196,26
1056,12,532,3,83,26
1057,12,532,11,351,26
1058,12,532,17,97,26
1059,13,533,10,10,26
1060,14,534,15,15,26
1061,15,535,0,120,26
1062,15,535,15,15,26
1063,15,535,4,124,26
1064,16,536,19,19,26
1065,16,536,7,247,26
1066,17,537,18,218,26
1067,17,537,15,15,26
1068,17,537,5,125,26
1069,18,538,18,158,26
1070,18,538,17,97,26
1071,19,539,8,8,26
1072,19,539,11,11,26
1073,19,539,1,61,26
1074,0,540,18,118,27
1075,0,540,4,4,27
1076,1,541,5,165,27
1077,2,542,0,100,27
1078,3,543,15,15,27
1079,3,543,19,179,27
1080,3,543,14,134,27
1081,4,544,5,525,27
1082,4,544,13,113,27
1083,4,544,15,235,27
1084,5,545,2,2,27
1085,5,545,12,92,27
1086,6,546,13,413,27
1087,7,547,14,394,27
1088,7,547,13,213,27
1089,7,547,0,0,27
1090,8,548,16,16,27
1091,8,548,10,10,27
1092,8,548,8,468,27
1093,9,549,3,263,27
1094,9,549,12,232,27
1095,9,549,8,8,27
1096,10,550,11,371,27
1097,10,550,9,9,27
1098,10,550,10,70,27
1099,11,551,2,242,27
1100,11,551,8,488,27
1101,11,551,15,15,27
1102,12,552,15,15,27
1103,12,552,2,2,27
1104,12,552,11,71,27
1105,13,553,8,208,27
1106,14,554,15,235,27
1107,14,554,15,15,27
1108,14,554,14,14,27
1109,15,555,19,199,27
1110,16,556,19,159,27
1111,16,556,2,2,27
1112,17,557,0,20,27
1113,18,558,12,32,27
1114,18,558,19,379,27
1115,18,558,6,326,27
1116,19,559,13,13,27
1117,19,559,18,138,27
1118,0,560,19,19,28
1119,0,560,12,12,28
1120,0,560,8,8,28
1121,1,561,12,332,28
1122,2,562,10,30,28
1123,3,563,1,1,28
1124,4,564,13,113,28
1125,4,564,13,33,28
1126,5,565,12,12,28
1127,5,565,9,9,28
1128,6,566,17,377,28
1129,7,567,9,269,28
1130,8,568,17,97,28
1131,8,568,14,254,28
1132,8,568,4,324,28
1133,9,569,13,313,28
1134,9,569,8,8,28
1135,10,570,9,9,28
1136,11,571,4,24,28
1137,11,571,13,33,28
1138,12,572,17,137,28
1139,13,573,2,2,28
1140,14,574,8,8,28
1141,14,574,11,531,28
